timestamp,step,visibility_m,v_safe_ms,prototype_target_ms,command_id,esp32_ack,motor_observed
1787955773.52,CLEAR,50.0,13.8889,1.3889,CMD_VEL_1787955773520_TRUCK_02,ACCEPTED,PENDING USER OBSERVATION
1787955773.5266,MODERATE FOG,30.0,10.8773,1.0877,CMD_VEL_1787955773526_TRUCK_02,ACCEPTED,PENDING USER OBSERVATION
1787955773.5432,DENSE FOG,15.0,6.0977,0.6098,CMD_VEL_1787955773543_TRUCK_02,ACCEPTED,PENDING USER OBSERVATION
1787955773.5586,RECOVERY (MODERATE),30.0,10.8773,1.0877,CMD_VEL_1787955773558_TRUCK_02,ACCEPTED,PENDING USER OBSERVATION
1787955773.5763,RECOVERY (CLEAR),50.0,13.8889,1.3889,CMD_VEL_1787955773576_TRUCK_02,ACCEPTED,PENDING USER OBSERVATION
