timestamp,vehicle_id,visibility_m,v_safe_ms,v_safe_kmh,prototype_scale,prototype_target_ms,command_id,ack_status,safety_status
1787954490.3448,TRUCK_02,50.0,13.8889,50.0,0.1,0.5,CMD_VEL_1787954490344_TRUCK_02,ACCEPTED,SAFE
1787954490.3501,TRUCK_02,30.0,10.8773,39.16,0.1,1.0,CMD_VEL_1787954490350_TRUCK_02,ACCEPTED,SAFE
1787954490.3692,TRUCK_02,15.0,6.0977,21.95,0.1,0.6098,CMD_VEL_1787954490369_TRUCK_02,ACCEPTED,SAFE
1787954490.3853,TRUCK_02,30.0,10.8773,39.16,0.1,1.0877,CMD_VEL_1787954490385_TRUCK_02,ACCEPTED,SAFE
1787954490.4007,TRUCK_02,50.0,13.8889,50.0,0.1,1.3889,CMD_VEL_1787954490400_TRUCK_02,ACCEPTED,SAFE
1787954490.4158,TRUCK_02,NaN,0.0,0.0,0.1,0.0,CMD_VEL_1787954490415_TRUCK_02,STOPPED,EMERGENCY_STOP
1787954490.4162,TRUCK_02,15.0,6.0977,21.95,0.1,5.0,CMD_UNSAFE_CLAMP_007,ACCEPTED,CLAMPED
