timestamp,vehicle_id,visibility_m,physics_safe_velocity_ms,command_velocity_ms,command_id,ack_status,local_safety_limit_ms,applied_velocity_ms,hardware_response,notes
1787954046.2556,TRUCK_02,50.0,13.8889,13.8889,CMD_VEL_1787954046255_TRUCK_02,ACCEPTED,13.8889,13.8889,WHEELS_ACTIVE_ACKNOWLEDGED,Step 1: 50.0m visibility transition
1787954046.2619,TRUCK_02,30.0,10.8773,10.8773,CMD_VEL_1787954046261_TRUCK_02,ACCEPTED,10.8773,10.8773,WHEELS_ACTIVE_ACKNOWLEDGED,Step 2: 30.0m visibility transition
1787954046.265,TRUCK_02,15.0,6.0977,6.0977,CMD_VEL_1787954046264_TRUCK_02,ACCEPTED,6.0977,6.0977,WHEELS_ACTIVE_ACKNOWLEDGED,Step 3: 15.0m visibility transition
1787954046.2938,TRUCK_02,30.0,10.8773,10.8773,CMD_VEL_1787954046293_TRUCK_02,ACCEPTED,10.8773,10.8773,WHEELS_ACTIVE_ACKNOWLEDGED,Step 4: 30.0m visibility transition
1787954046.2979,TRUCK_02,50.0,13.8889,13.8889,CMD_VEL_1787954046297_TRUCK_02,ACCEPTED,13.8889,13.8889,WHEELS_ACTIVE_ACKNOWLEDGED,Step 5: 50.0m visibility transition
1787954046.3011,TRUCK_02,15.0,6.0977,12.0,CMD_HIL_UNSAFE_CLAMP_01,CLAMPED,6.0977,6.0977,LOCAL_GOVERNOR_CLAMPED,Unsafe command clamped by local ESP32 safety governor
