sample_id,mass_loaded_kg,grade_pct,friction_mu,visibility_m,comm_confidence,curve_radius_m,v_safe_kmh,v_stop_kmh,v_retarder_kmh,s_stop_m,h_safe_m,active_constraint,is_physically_safe
1,167483.57076505615,7.319939418114051,0.3546065241548528,31.93963178886665,0.15599452033620265,100.0,20.0,32.55200494249254,51.34475515622645,26.939631788866645,31.939631788866645,SITE_SPEED_LIMIT,True
2,164308.6784941441,4.592488919658671,0.35000338627267924,20.016887501255983,0.6508884729488529,35.0,20.0,24.330262583132306,125.99999988298863,15.016887501255983,20.016887501255983,SITE_SPEED_LIMIT,True
3,162095.60932988243,1.8340450985343382,0.25495128632644753,18.690900933179197,0.43194501864211576,35.0,20.0,20.678603426775517,150.0,13.690900933179197,18.690900933179197,SITE_SPEED_LIMIT,True
4,162374.15096410926,5.2477466025838915,0.3163329821247654,22.993743727186498,0.9737555188414592,100.0,20.0,27.398008952637202,92.15301254075021,17.993743727186494,22.993743727186494,SITE_SPEED_LIMIT,True
5,172328.24384460776,1.9967378215835974,0.5073450991017149,28.140549728612523,0.046450412719997725,100.0,20.0,30.75952467542567,150.0,23.140549728612513,28.140549728612513,SITE_SPEED_LIMIT,True
6,163871.1184975673,6.803075385877797,0.3046427364059533,25.272466338629435,0.9422017556848528,50.0,20.0,28.18360273696962,57.2994920044765,20.272466338629435,25.272466338629435,SITE_SPEED_LIMIT,True
7,161998.73074947044,0.9767211400638387,0.4540533728088605,35.79048619304706,0.12203823484477883,35.0,20.0,37.923022337164845,150.0,30.79048619304706,35.79048619304706,SITE_SPEED_LIMIT,True
8,169737.1991052332,8.331949117361644,0.22821212151464815,12.801409407849743,0.18223608778806233,inf,11.648542375087821,11.648542375087821,42.80366712424904,7.801409407849743,12.801409407849743,STOPPING_DISTANCE,True
9,166044.3179750238,5.4671027934327965,0.3439169255529117,13.318450498648717,0.7751328233611146,50.0,16.355110858820193,16.355110858820193,84.12117998164146,8.318450498648719,13.318450498648719,STOPPING_DISTANCE,True
10,155201.64938060113,3.9515023600181443,0.5545451985497474,46.69964896072074,0.3265407688058354,50.0,20.0,45.51138131780879,125.99999988298863,41.69964896072073,46.69964896072073,SITE_SPEED_LIMIT,True
11,159954.57328567447,2.713490317738959,0.42486366434275624,42.29318791183682,0.28093450968738076,inf,20.0,42.84931394487306,125.99999988298863,37.29318791183681,42.29318791183681,SITE_SPEED_LIMIT,True
12,157083.52893231556,2.7599918202254337,0.1830533878126005,18.332307756683708,0.01563640674119393,35.0,16.971108849384418,16.971108849384418,125.99999988298863,13.332307756683708,18.332307756683708,STOPPING_DISTANCE,True
13,161615.3899984702,0.05522117123602399,0.5474000703466659,41.695764280467536,0.7290071680409873,35.0,20.0,45.74011651841611,150.0,36.69576428046753,41.69576428046753,SITE_SPEED_LIMIT,True
14,168058.38144420434,6.059599747810114,0.5278769589256805,46.683539533100706,0.9149596755437808,35.0,20.0,46.79888237429149,69.2070989016071,41.6835395331007,46.6835395331007,SITE_SPEED_LIMIT,True
15,157459.2335522626,0.6355835028602363,0.2150366644053494,18.9942044772048,0.7296061783380641,inf,20.0,21.05986033580942,150.0,13.9942044772048,18.9942044772048,SITE_SPEED_LIMIT,True
16,170498.2348789241,2.747217929900642,0.4340244061638264,30.25595416314655,0.9717120953891037,100.0,20.0,36.24703173144456,125.99999988298863,25.25595416314655,30.25595416314655,SITE_SPEED_LIMIT,True
17,166806.97802754206,7.70967179954561,0.4829564902836979,27.220801836397584,0.42754101835854963,50.0,20.0,29.492372322971104,47.65935714427381,22.220801836397584,27.220801836397584,SITE_SPEED_LIMIT,True
